Movie,Month,Day,Year,Budget($M),Domestic Gross($M),Worldwide Gross($M)
Lethal Weapon 4,Jul,10,1998,140,130.444603,285.4
Wedding Crashers,Jul,15,2005,40,209.218368,283.218368
Speed,Jun,10,1994,30,121.248145,283.2
John Carter,Mar,9,2012,275,73.058679,282.7781
Casper,May,26,1995,55,100.328194,282.3
Casper,May,26,1995,55,100.328194,282.3
Bridget Jones's Diary,Apr,13,2001,25,71.500556,281.527158
The Bourne Legacy,Aug,10,2012,125,113.20387,280.35592
Shakespeare in Love,Dec,11,1998,26,100.317794,279.5
Maze Runner: The Death Cure,Jan,26,2018,61,57.2672,279.316181
The Tourist,Dec,10,2010,100,67.631157,278.731369
Split,Jan,20,2017,5,138.141585,278.449984
Alice Through the Looking Glass,May,27,2016,170,77.042381,277.442381
Scary Movie,Jul,7,2000,19,157.019771,277.2
Beverly Hills Cop II,May,20,1987,20,153.665036,276.665036
Scooby-Doo,Jun,14,2002,84,153.294164,276.294164
Divergent,Mar,21,2014,85,150.947895,276.014965
The Silence of the Lambs,Feb,14,1991,20,130.726716,275.726716
Sen to Chihiro no Kamikakushi,Sep,20,2002,19,10.049886,274.949886
Gran Torino,Dec,12,2008,25,148.095302,274.543085
High School Musical 3: Senior Year,Oct,24,2008,11,90.559416,274.39288
Cloudy with a Chance of Meatballs 2,Sep,27,2013,78,119.793567,274.392649
The Nutty Professor,Jun,28,1996,55,128.814019,273.814019
The Nutty Professor,Jun,28,1996,55,128.814019,273.814019
Lincoln,Nov,9,2012,65,182.207973,273.346281
Lara Croft: Tomb Raider,Jun,15,2001,94,131.144183,273.330185
Bad Boys II,Jul,18,2003,130,138.54087,273.271982
Grown Ups,Jun,25,2010,75,162.001186,272.22343
The Princess and the Frog,Nov,25,2009,105,104.400899,270.997378
Neighbors,May,9,2014,18,150.0868,270.944428
The Firm,Jun,30,1993,42,158.340892,270.340892
Mr. Peabody & Sherman,Mar,7,2014,145,111.50643,269.80643
"10,000 B.C.",Mar,7,2008,105,94.784201,269.065678
The Godfather,Mar,15,1972,7,134.966411,268.5
Exodus: Gods and Kings,Dec,12,2014,140,65.014513,268.314513
The Expendables,Aug,13,2010,82,103.068524,268.268174
Bambi,Aug,13,1942,0.858,102.797,268
American Gangster,Nov,2,2007,100,130.164645,267.985456
We're the Millers,Aug,7,2013,37,150.394119,267.816276
xXx,Aug,9,2002,70,141.93,267.2
Batman Returns,Jun,18,1992,80,162.833635,266.824291
Something's Gotta Give,Dec,12,2003,80,124.685242,266.685242
The Incredible Hulk,Jun,13,2008,137.5,134.806913,265.573859
Waterworld,Jul,28,1995,175,88.24622,264.24622
The Truman Show,Jun,5,1998,60,125.618201,264.118201
The Fifth Element,May,9,1997,95,63.570862,263.898761
Real Steel,Oct,7,2011,110,85.463309,263.880341
Cinderella,Feb,15,1950,2.9,85,263.591415
Baahubali 2: The Conclusion,Apr,28,2017,30,18.985794,263.585794
Epic,May,24,2013,100,107.518682,262.794441
Jumanji,Dec,15,1995,65,100.45831,262.75831
Borat,Nov,3,2006,18,128.505958,261.443242
Total Recall,Jun,1,1990,65,119.394839,261.4
Robots,Mar,11,2005,80,128.200012,260.700012
The Lone Ranger,Jul,2,2013,275,89.302115,260.002115
Charlie's Angels,Nov,3,2000,90,125.305545,259.73609
Paddington,Jan,16,2015,55,76.223578,259.54143
Paddington,Jan,16,2015,55,76.223578,259.54143
Blade Runner 2049,Oct,6,2017,185,92.054159,259.103376
Knight and Day,Jun,23,2010,117,76.423035,258.75137
Out of Africa,Dec,18,1985,31,79.096868,258.21086
The Full Monty,Aug,13,1997,3.5,45.950122,257.938649
American Hustle,Dec,13,2013,40,150.117807,257.878294
The Village,Jul,30,2004,71.682975,114.19752,257.641634
Annabelle,Oct,3,2014,6.5,84.273813,256.86292
Rush Hour 3,Aug,10,2007,180,140.125968,256.585882
Get Out,Feb,24,2017,5,176.040665,255.090124
Cliffhanger,May,28,1993,65,84.049211,255
Wild Hogs,Mar,2,2007,60,168.213584,253.555383
True Grit,Dec,22,2010,35,171.243005,252.276928
Michael Jackson's This Is It,Oct,28,2009,60,72.091016,252.091016
After Earth,May,31,2013,130,60.522097,251.499665
You've Got Mail,Dec,18,1998,65,115.821495,250.8
Hercules,Jun,13,1997,70,99.112101,250.7
Enemy of the State,Nov,20,1998,85,111.549836,250.649836
The Peanuts Movie,Nov,6,2015,99,130.178411,250.474038
Space Jam,Nov,15,1996,80,90.463534,250.2
Alvin and the Chipmunks: The Road Chip,Dec,18,2015,90,85.886987,249.52043
Eragon,Dec,15,2006,100,75.030163,249.488115
The Blair Witch Project,Jul,14,1999,0.6,140.539099,248.3
The Ring,Oct,18,2002,48,129.094024,248.218486
Unbreakable,Nov,22,2000,73.243106,94.999143,248.099143
Love Actually,Nov,7,2003,45,59.472278,247.946915
Marley & Me,Dec,25,2008,60,143.153751,247.812011
Bienvenue chez les Ch'tis,Jul,25,2008,16,1.47765,247.474497
Grown Ups 2,Jul,12,2013,80,133.668525,247.023808
Dumb & Dumber,Dec,16,1994,16,127.175374,246.4
Babe,Aug,4,1995,30,63.65891,246.1
Lilo & Stitch,Jun,21,2002,80,145.771527,245.8
8 Mile,Nov,8,2002,41,116.724075,245.768384
Rango,Mar,4,2011,135,123.477607,245.7246
Teenage Mutant Ninja Turtles: Out of the Shadows,Jun,3,2016,135,82.051601,245.623848
Rush Hour,Sep,18,1998,35,141.186864,245.3
Hulk,Jun,20,2003,137,132.177234,245.075434
Pixels,Jul,24,2015,90,78.765986,244.144701
Back to the Future Part III,May,24,1990,40,88.055283,244.088654
Hercules,Jul,25,2014,100,72.688614,243.388614
Journey to the Center of the Earth,Jul,11,2008,45,101.70437,243.180937
RoboCop,Feb,12,2014,120,58.607007,242.981799
Four Weddings and a Funeral,Mar,9,1994,4.5,52.700832,242.895809
Face/Off,Jun,27,1997,80,112.276146,241.2
Assassin’s Creed,Dec,21,2016,125,54.647948,240.497948
Die Hard 2,Jul,3,1990,70,117.323878,239.814025
Crocodile Dundee 2,May,25,1988,14,109.30621,239.60621
Dead Poets Society,Jun,2,1989,16.4,95.860116,239.5
The Girl with the Dragon Tattoo,Dec,20,2011,90,102.515793,239.37397
Resident Evil: Retribution,Sep,14,2012,65,42.345531,238.940997
Alien: Covenant,May,19,2017,97,74.262031,238.862031
Sully,Sep,9,2016,60,125.070033,238.552082
Batman & Robin,Jun,20,1997,125,107.325195,238.317814
Dark Shadows,May,11,2012,150,79.727149,238.202668
Hauru no ugoku shiro,Jun,10,2005,24,4.710455,237.814327
Click,Jun,23,2006,82.5,137.355633,237.685089
Cloudy with a Chance of Meatballs,Sep,18,2009,100,124.870275,236.827677
A Few Good Men,Dec,11,1992,33,141.340178,236.5
Silver Linings Playbook,Nov,16,2012,21,132.092958,236.412453
2 Fast 2 Furious,Jun,6,2003,76,127.120058,236.410607
Artificial Intelligence: AI,Jun,29,2001,90,78.616689,235.9
Mr. Bean’s Holiday,Aug,24,2007,25,33.302167,234.981342
American Pie,Jul,9,1999,12,101.800948,234.723148
Eraser,Jun,21,1996,100,101.295562,234.4
The Mask of Zorro,Jul,17,1998,65,93.828745,233.7
Spy!,Jun,5,2015,65,110.825712,233.125712
The Day the Earth Stood Still,Dec,12,2008,80,79.366978,233.066978
Gone in 60 Seconds,Jun,9,2000,103.3,101.643008,232.643008
Gulliver's Travels,Dec,25,2010,112,42.779261,232.017848
Million Dollar Baby,Dec,15,2004,30,100.492203,231.928227
Hidden Figures,Dec,25,2016,25,169.607287,231.800856
The English Patient,Nov,15,1996,35,78.716374,231.710008
Juno,Dec,5,2007,7,143.495265,231.450102
The Heat,Jun,28,2013,43,159.581587,229.727774
Ghost Rider,Feb,16,2007,120,115.802596,229.545589
La vita è bella,Oct,23,1998,20,57.598247,229.385361
The Green Hornet,Jan,14,2011,110,98.780042,229.155503
Ghostbusters,Jul,15,2016,144,128.350574,229.03405
Big Daddy,Jun,25,1999,30,163.479795,228.641283
Baby Driver,Jun,28,2017,34,107.825862,228.104185
Chicken Run,Jun,21,2000,42,106.793915,227.793915
The Imitation Game,Nov,28,2014,15,91.125143,227.773686
Charlie's Angels: Full Throttle,Jun,27,2003,120,100.814328,227.2
Argo,Oct,12,2012,44.5,136.025503,227.140757
Taken,Jan,30,2009,25,145.000989,226.941585
Get Smart,Jun,20,2008,80,130.319208,226.739416
Good Will Hunting,Dec,5,1997,10,138.433435,225.925989
Rocky,Nov,21,1976,1,117.235147,225
The Social Network,Oct,1,2010,40,96.962694,224.922135
It’s Complicated,Dec,25,2009,85,112.735375,224.614744
Con Air,Jun,6,1997,80,101.117573,224.117573
Percy Jackson & the Olympians: The Lightning Thief,Feb,12,2010,95,88.768303,223.050874
Jumper,Feb,14,2008,82.5,80.172128,222.640812
Everest,Sep,18,2015,65,43.48227,221.835496
Constantine,Feb,18,2005,75,75.976178,221.594911
Bedtime Stories,Dec,25,2008,80,110.101975,221.468935
Wild Wild West,Jun,30,1999,175,113.805681,221.229335
Fahrenheit 9/11,Jun,23,2004,6,119.114517,221.148959
Geostorm,Oct,20,2017,100,33.70016,220.80016
Captain Phillips,Oct,11,2013,55,107.136417,220.648184
Captain Phillips,Oct,11,2013,55,107.136417,220.648184
Dracula Untold,Oct,10,2014,70,55.99188,220.241723
Elf,Nov,7,2003,32,173.398518,220.23641
Inferno,Oct,28,2016,75,34.343574,219.561188
Green Lantern,Jun,17,2011,200,116.601172,219.535492
Knocked Up,Jun,1,2007,27.5,148.761765,219.265952
Kingdom of Heaven,May,6,2005,110,47.398413,218.853353
The Terminal,Jun,18,2004,75,77.073959,218.673959
The Prince of Egypt,Dec,18,1998,60,101.413188,218.613188
What Happens in Vegas...,May,9,2008,35,80.277646,218.535708
The Sorcerer's Apprentice,Jul,14,2010,160,63.150991,217.98632
Collateral,Aug,6,2004,60,100.170152,217.670152
Jack Reacher,Dec,21,2012,60,80.070736,217.370736
Ted 2,Jun,26,2015,68,81.476385,217.214143
Twins,Dec,9,1988,15,111.936388,216.6
Bram Stoker's Dracula,Nov,13,1992,40,82.52279,215.862692
Bad Teacher,Jun,24,2011,19,100.292856,215.448997
The Patriot,Jun,28,2000,110,113.330342,215.3
Valerian and the City of a Thousand Planets,Jul,21,2017,180,40.47937,215.116144
Australia,Nov,26,2008,130,49.554002,215.08081
Just Go With It,Feb,11,2011,80,103.028109,214.974953
Flightplan,Sep,23,2005,55,89.706988,214.392904
Flightplan,Sep,23,2005,55,89.706988,214.392904
The Bourne Identity,Jun,14,2002,60,121.46896,214.357371
"Crouching Tiger, Hidden Dragon",Dec,8,2000,15,128.067808,213.514672
Vertical Limit,Dec,8,2000,75,68.47336,213.5
Battle: Los Angeles,Mar,11,2011,70,83.552429,213.463976
Miss Congeniality,Dec,22,2000,45,106.807667,213.420951
The Help,Aug,10,2011,25,169.705587,213.120004
Lemony Snicket's A Series of Unfortunate Events,Dec,17,2004,100,118.627117,212.956024
Pulp Fiction,Oct,14,1994,8,107.928762,212.928762
Master and Commander: The Far Side of the World,Nov,14,2003,135,93.926386,212.912137
District 9,Aug,14,2009,30,115.646235,212.453431
Horrible Bosses,Jul,8,2011,35,117.538559,212.417601
Ace Ventura: When Nature Calls,Nov,10,1995,30,108.360063,212.4
Public Enemies,Jul,1,2009,102.5,97.10462,212.282709
Disclosure,Dec,9,1994,55,83.015089,212.2
Disclosure,Dec,9,1994,55,83.015089,212.2
End of Days,Nov,24,1999,100,66.889043,212.026975
Total Recall,Aug,3,2012,125,58.877969,211.856088
Due Date,Nov,5,2010,65,100.539043,211.739043
Entrapment,Apr,30,1999,66,87.707396,211.7
Immortals,Nov,11,2011,75,83.504017,211.562435
Fury,Oct,17,2014,80,85.817906,210.315681
Moonraker,Jun,29,1979,31,70.3,210.3
The Expendables 3,Aug,15,2014,100,39.322544,209.461378
Braveheart,May,24,1995,72,75.545647,209.045522
Jaws 2,Jun,16,1978,20,102.922376,208.900376
Safe House,Feb,10,2012,85,126.18163,208.542162
The Aviator,Dec,17,2004,110,102.608827,208.370892
Traffic,Dec,27,2000,48,124.107476,208.3
The Others,Aug,10,2001,17,96.522687,207.765056
Clear and Present Danger,Aug,3,1994,62,122.012656,207.5
Tomorrowland,May,22,2015,170,93.436322,207.283457
S.W.A.T.,Aug,8,2003,70,116.877597,207.154748
Sleepy Hollow,Nov,19,1999,70,101.06834,207.06834
Eat Pray Love,Aug,13,2010,60,80.57401,206.598789
The Fast and the Furious,Jun,22,2001,38,144.51231,206.51231
Red Dragon,Oct,4,2002,78,92.95542,206.45542
Me Before You,Jun,3,2016,20,56.245075,205.445075
White House Down,Jun,28,2013,150,73.103784,205.440387
JFK,Dec,20,1991,40,70.405498,205.4
Gake no ue no Ponyo,Aug,14,2009,34,15.090399,205.312666
The Ugly Truth,Jul,24,2009,38,88.915214,205.298907
A Dog’s Purpose,Jan,27,2017,25,64.32189,205.272612
The Holiday,Dec,8,2006,85,63.28,205.190324
Yogi Bear,Dec,17,2010,80,100.246011,204.77469
Valkyrie,Dec,25,2008,90,83.107829,203.932174
King Arthur,Jul,7,2004,90,51.877963,203.877963
Alien,May,25,1979,9,80.93063,203.63063
Bridget Jones’s Baby,Sep,16,2016,35,24.139805,203.555567
Into the Woods,Dec,25,2014,56.2,128.002372,203.502372
Into the Woods,Dec,25,2014,56.2,128.002372,203.502372
Arrival,Nov,11,2016,47,100.546139,203.178872
Hairspray,Jul,20,2007,75,118.871849,203.035572
Fun With Dick And Jane,Dec,21,2005,140,110.55,203.018919
You Don't Mess With the Zohan,Jun,6,2008,90,100.018837,202.910991
21 Jump Street,Mar,16,2012,42,138.447667,202.812429
Vanilla Sky,Dec,14,2001,70,100.614858,202.726605
Straight Outta Compton,Aug,14,2015,28,161.197785,202.182981
Paranormal Activity 3,Oct,21,2011,5,104.028807,202.053386
Teenage Mutant Ninja Turtles,Mar,30,1990,13.5,135.265915,202
Kindergarten Cop,Dec,21,1990,26,91.457688,202
Flashdance,Apr,15,1983,7,90.463574,201.463574
Philadelphia,Dec,22,1993,26,77.324422,201.324422
Percy Jackson: Sea of Monsters,Aug,7,2013,90,68.559554,200.859554
Cats & Dogs,Jul,4,2001,60,93.375151,200.7
The Hunt for Red October,Mar,2,1990,30,120.709866,200.5
The BFG,Jul,1,2016,140,55.48377,199.905224
Two Weeks Notice,Dec,20,2002,60,93.354918,199.043309
City of Angels,Apr,10,1998,55,78.750909,198.750909
City of Angels,Apr,10,1998,55,78.750909,198.750909
The Pacifier,Mar,4,2005,56,113.00688,198.00688
The Pacifier,Mar,4,2005,56,113.00688,198.00688
Spy Kids,Mar,30,2001,35,112.692062,197.692062
Jack the Giant Slayer,Mar,1,2013,195,65.187603,197.687603
The Vow,Feb,10,2012,30,125.01403,197.61816
Wallace & Gromit: The Curse of the Were-Rabbit,Oct,5,2005,30,56.068547,197.593152
Smurfs: The Lost Village,Apr,7,2017,60,45.020282,197.268034
The Intern,Sep,25,2015,40,75.764672,197.232734
Stargate,Oct,28,1994,55,71.565669,196.565669
Stargate,Oct,28,1994,55,71.565669,196.565669
Red,Oct,15,2010,60,90.380162,196.439693
50 First Dates,Feb,13,2004,75,120.776832,196.320329
Panic Room,Mar,29,2002,48,95.308367,196.308367
Anger Management,Apr,11,2003,56,135.560942,195.660942
Anger Management,Apr,11,2003,56,135.560942,195.660942
For Your Eyes Only,Jun,26,1981,28,54.8,195.3
The Other Woman,Apr,25,2014,40,83.911193,195.111193
Beowulf,Nov,16,2007,150,82.280579,195.080579
Paranormal Activity,Sep,25,2009,0.45,107.91881,194.183034
Need for Speed,Mar,14,2014,66,43.568507,194.169619
Xi You Ji zhi Sun Wu Kong San Da Bai Gu Jing,Feb,5,2016,60,0.709982,194.058503
London Has Fallen,Mar,4,2016,60,62.52426,193.857962
Gnomeo and Juliet,Feb,11,2011,36,99.96767,193.737977
The Sum of All Fears,May,31,2002,68,118.47132,193.5
The Equalizer,Sep,26,2014,55,101.530738,192.903624
The Equalizer,Sep,26,2014,55,101.530738,192.903624
Open Season,Sep,29,2006,85,85.105259,191.932158
The Longest Yard,May,27,2005,82,158.11946,191.558505
The Addams Family,Nov,22,1991,30,113.502246,191.502246
The Living Daylights,Jul,31,1987,40,51.185,191.2
Hollow Man,Aug,4,2000,90,73.20934,191.2
Tropic Thunder,Aug,13,2008,90,110.515313,191.145256
Cheaper by the Dozen,Dec,25,2003,40,138.614544,190.212113
The Waterboy,Nov,6,1998,23,161.491646,190.191646
The Santa Clause,Nov,11,1994,22,144.833357,189.8
Mr. Poppers's Penguins,Jun,17,2011,55,68.224452,189.624452
Mr. Poppers's Penguins,Jun,17,2011,55,68.224452,189.624452
The X Files: Fight the Future,Jun,19,1998,66,83.898313,189.176423
Rambo III,May,25,1988,58,53.715611,188.715611
Rambo III,May,25,1988,58,53.715611,188.715611
Hop,Apr,1,2011,63,108.085305,188.657593
The Secret Life of Walter Mitty,Dec,25,2013,91,58.236838,188.281304
The Pelican Brief,Dec,17,1993,45,100.768056,187.995859
Walk the Line,Nov,18,2005,29,119.519402,187.707495
Octopussy,Jun,10,1983,27.5,67.9,187.5
The Final Destination,Aug,28,2009,40,66.4777,187.384627
The Grudge,Oct,22,2004,10,110.359362,187.281115
The Horse Whisperer,May,15,1998,60,75.383563,186.883563
Atlantis: The Lost Empire,Jun,8,2001,90,84.052762,186.04902
Paul Blart: Mall Cop,Jan,16,2009,26,146.336178,185.90475
I Now Pronounce You Chuck and Larry,Jul,20,2007,85,119.72528,185.708462
The Spy Who Loved Me,Jul,13,1977,14,46.8,185.4
Snow White and the Seven Dwarfs,Dec,21,1937,1.488,184.925485,184.925485
Watchmen,Mar,6,2009,138,107.509799,184.068357
Road to Perdition,Jul,12,2002,80,104.054514,183.354514
Aliens,Jul,18,1986,17,85.160248,183.316455
Gangs of New York,Dec,20,2002,97,77.7305,183.124621
Wayne's World,Feb,14,1992,20,121.697323,183.097323
Daredevil,Feb,14,2003,80,102.543518,182.782518
Sweet Home Alabama,Sep,27,2002,38,127.214072,182.365114
Cape Fear,Nov,15,1991,35,79.091969,182.291969
Jupiter Ascending,Feb,6,2015,179,47.482519,181.982519
Poseidon,May,12,2006,160,60.674817,181.674817
The First Wives Club,Sep,20,1996,30,105.489203,181.489203
Bad Moms,Jul,29,2016,20,113.257297,181.457297
Scooby-Doo 2: Monsters Unleashed,Mar,26,2004,25,84.185387,181.185387
He's Just Not That Into You,Feb,6,2009,40,93.953653,181.053657
Déjà Vu,Nov,22,2006,80,64.038616,181.038616
12 Years a Slave,Oct,18,2013,20,56.671993,181.025343
The Haunting,Jul,23,1999,80,91.188905,180.188905
The Dictator,May,16,2012,65,59.650222,180.148897
Hugo,Nov,23,2011,180,73.864507,180.047784
Flushed Away,Nov,3,2006,149,64.665672,179.357126
The League of Extraordinary Gentlemen,Jul,11,2003,78,66.465204,179.265204
Scary Movie 4,Apr,14,2006,40,90.71062,178.71062
Dante's Peak,Feb,7,1997,115,67.163857,178.2
Patriot Games,Jun,5,1992,45,83.287363,178.1
Eagle Eye,Sep,26,2008,80,101.440743,178.066569
Flubber,Nov,26,1997,80,92.993801,177.993801
Double Jeopardy,Sep,24,1999,40,116.735231,177.835231
Jet Li's Hero,Aug,27,2004,17,53.65214,177.535958
Paranormal Activity 2,Oct,20,2010,3,84.752907,177.512032
The 40 Year-old Virgin,Aug,19,2005,26,109.449237,177.34423
The A-Team,Jun,11,2010,110,77.222099,177.241171
Tootsie,Dec,17,1982,15,177.2,177.2
Lee Daniels' The Butler,Aug,16,2013,30,116.632095,177.025498
Brokeback Mountain,Dec,9,2005,13.9,83.043761,177.012173
Analyze This,Mar,5,1999,30,106.885658,176.885658
Baywatch,May,25,2017,60,58.060186,176.53357
Kill Bill: Volume 1,Oct,10,2003,55,70.098138,176.469428
Kill Bill: Volume 1,Oct,10,2003,55,70.098138,176.469428
The Italian Job,May,30,2003,60,106.126012,176.262839
Daddy’s Home 2,Nov,10,2017,70,104.029443,176.154137
Dr. Dolittle 2,Jun,22,2001,72,112.950721,176.101721
Cowboys and Aliens,Jul,29,2011,163,100.36856,176.038324
The Bridges of Madison County,Jun,2,1995,22,71.516617,175.516617
The Descendants,Nov,16,2011,20,82.624961,175.5078
Identity Thief,Feb,8,2013,35,134.50692,175.361578
The Bucket List,Dec,25,2007,45,93.466502,174.807445
George Of The Jungle,Jul,16,1997,55,105.263257,174.463257
George Of The Jungle,Jul,16,1997,55,105.263257,174.463257
Le Fabuleux destin d'Amélie Poulain,Nov,2,2001,10.35,33.201661,174.201661
Evan Almighty,Jun,22,2007,175,100.28969,174.131329
Storks,Sep,23,2016,70,72.679278,174.102281
Mirror Mirror,Mar,30,2012,85,64.935167,173.613482
Creed,Nov,25,2015,37,109.767581,173.567581
Big Momma's House,Jun,2,2000,33,117.559438,173.559438
Scream,Dec,20,1996,15,103.046663,173.046663
Along Came Polly,Jan,16,2004,42,88.073507,173.04441
The Santa Clause 2,Nov,1,2002,65,139.225854,172.825854
The Hitman’s Bodyguard,Aug,18,2017,30,75.468583,172.779292
AVP: Alien Vs. Predator,Aug,13,2004,70,80.281096,172.543519
Couples Retreat,Oct,9,2009,60,109.20566,172.450423
Jackass 3D,Oct,15,2010,20,117.229692,171.685793
John Wick: Chapter Two,Feb,10,2017,40,92.029184,171.529184
